-,-,-
145, 104, 1274
286, 100, 817
218, 134, 1003
117, 155, 1550
117, 155, 1550
131, 276, 1492
217, 262, 1318
279, 128, 1296
244, 75, 1370
193, 141, 1329
187, 111, 1159
187, 111, 1159
159, 111, 1155
146, 123, 1187
159, 171, 1092
215, 52, 1067
240, -33, 881
161, -37, 1044
161, -37, 1044
87, 88, 986
54, 31, 914
93, -82, 820
93, -82, 820
53, -71, 724
-42, -45, 757
-99, -37, 807
-85, 35, 596
-85, 35, 596
-66, -48, 557
-63, -125, 625
-175, -5, 652
-220, 129, 537
-220, 129, 537
-,-,-
172, 55, 790
152, 55, 1157
152, -46, 1157
137, 81, 1067
96, 193, 1032
119, 136, 1406
151, 132, 1566
210, 161, 1490
210, 161, 1490
307, 99, 1411
279, 18, 1566
244, 84, 1496
253, 95, 1255
253, 95, 1255
221, 70, 1189
223, 67, 1117
156, 49, 1179
128, 51, 1051
139, 23, 1033
139, 23, 1033
128, 33, 976
53, 45, 1006
18, 95, 1071
18, 95, 1071
23, 199, 910
15, 148, 912
24, 14, 1003
24, 14, 1003
-14, 31, 1064
-16, 123, 898
5, 103, 722
5, 103, 722
5, -16, 859
5, -33, 915
-32, 53, 789
-32, 53, 789
-46, 27, 650
-106, 0, 624
-166, 11, 504
-166, 11, 504
-,-,-
63, 3, 1231
27, 34, 1390
115, 265, 903
144, 187, 788
144, 187, 788
137, -160, 1208
49, -96, 1392
44, 172, 1212
145, 211, 1283
184, 56, 1522
184, 56, 1522
132, 11, 1628
130, 94, 1610
175, 166, 1368
147, 79, 1336
147, 79, 1336
95, 17, 1414
46, 122, 1254
60, 166, 947
60, 47, 896
60, 47, 896
39, -11, 907
-3, 16, 868
-3, 16, 868
-17, 23, 775
-36, 12, 832
-73, 53, 919
-73, 53, 919
-131, 106, 912
-120, 122, 806
-58, 27, 665
-59, -95, 653
-59, -95, 653
-99, -115, 737
-123, -22, 632
-171, 45, 525
-234, 36, 537
-280, 47, 568
-,-,-
192, -41, 1290
192, -41, 1290
169, 98, 1270
238, 29, 1228
197, 25, 1285
184, 33, 1281
194, 35, 1436
194, 35, 1436
294, -27, 1565
325, -37, 1499
269, 17, 1302
222, 29, 1196
209, -13, 1281
209, -13, 1281
178, -21, 1251
155, -27, 1113
122, -35, 1048
81, 26, 1052
71, 45, 912
71, 45, 912
40, -11, 845
3, -10, 823
3, -10, 823
-36, 14, 868
-91, 43, 787
-112, 14, 616
-104, -73, 558
-104, -73, 558
-106, -131, 628
-145, -57, 621
-224, 48, 509
-273, 52, 470
-278, -3, 466
-,-,-
172, 89, 1197
210, 177, 1021
217, 54, 1320
217, 54, 1320
168, -64, 1736
207, 32, 1320
225, 20, 1064
222, -93, 1193
222, -93, 1193
164, -108, 1294
75, 25, 1338
108, 100, 1193
171, -17, 1268
