-,-,-
-118, 62, -1165
-87, 13, -1308
-70, -54, -1410
-72, -176, -1432
-109, -408, -1292
-102, -782, -1247
-1, -965, -1395
5, -1045, -1347
5, -1045, -1347
-46, -1080, -1225
-53, -1180, -1061
-6, -1223, -963
17, -1130, -837
98, -1157, -770
140, -1027, -843
89, -723, -837
71, -560, -662
-1, -492, -465
-71, -494, -217
-162, -345, -254
-266, -270, -307
-317, -361, -247
-321, -453, -193
-373, -309, -193
-373, -309, -193
-374, -266, -180
-355, -207, -292
-328, 5, -468
-219, 108, -411
-190, 346, -436
-212, 530, -484
-205, 518, -477
-201, 479, -464
-154, 448, -381
-109, 529, -487
-139, 619, -696
-179, 532, -791
-179, 532, -791
-191, 445, -842
-93, 449, -1029
-18, 603, -1364
-131, 574, -1508
-256, 302, -1456
-,-,-
95, -535, -1425
84, -657, -1483
0, -676, -1523
0, -676, -1523
-6, -779, -1401
18, -832, -1337
67, -880, -1305
88, -944, -1169
47, -993, -1008
-2, -1116, -919
4, -1243, -917
56, -1247, -929
115, -1169, -889
135, -1070, -857
135, -1070, -857
155, -949, -779
182, -839, -706
125, -660, -659
49, -502, -582
-24, -461, -446
-82, -467, -293
-141, -425, -215
-232, -344, -205
-292, -269, -178
-256, -282, -211
-249, -188, -254
-283, -10, -285
-282, 157, -342
-270, 333, -430
-236, 407, -426
-236, 407, -426
-209, 371, -448
-240, 320, -491
-236, 342, -559
-141, 357, -530
-136, 458, -658
-,-,-
-189, -189, -1073
-208, -388, -966
-251, -675, -1005
-270, -986, -1118
-209, -1330, -1246
-282, -1447, -1099
-338, -1499, -922
-302, -1513, -1022
-224, -1478, -1185
-201, -1441, -1142
-287, -1385, -698
-204, -1494, -520
-142, -1480, -628
-162, -1218, -678
-99, -1098, -539
-100, -1023, -307
-40, -972, -260
-73, -733, -332
-186, -434, -261
-185, -348, -230
-204, -331, -101
-292, -179, 91
-346, -53, 55
-,-,-
-325, -809, -1049
-392, -1048, -1211
-469, -1119, -1233
-482, -1137, -1211
-447, -1203, -1177
-369, -1341, -1177
-376, -1251, -1023
-371, -1220, -802
-295, -1276, -700
-224, -1331, -702
-247, -1213, -655
-241, -1202, -585
-241, -1276, -510
-157, -1295, -402
-166, -1172, -378
-210, -935, -433
-161, -868, -540
-146, -782, -534
-156, -677, -438
-238, -468, -252
-269, -326, -259
-272, -305, -238
-341, -241, -67
-401, -183, 25
-460, -171, 45
-475, -192, 29
-519, -176, 28
-519, -176, 28
-584, -69, 59
-606, 38, 3
-579, 94, -187
-571, 93, -282
-654, 148, -168
-626, 193, -238
-626, 193, -238
-600, 285, -351
-708, 514, -370
-773, 653, -341
-773, 633, -465
-729, 499, -642
